estacion,cod_pluvio,fecha,mm
solis,2875A,02/12/2022,8.5
solis,2875A,02/13/2022,0.0
solis,2875A,02/14/2022,0.0
solis,2875A,02/15/2022,0.0
solis,2875A,02/16/2022,0.0
solis,2875A,02/17/2022,0.0
solis,2875A,02/18/2022,0.0
solis,2875A,02/19/2022,0.0
solis,2875A,02/20/2022,112.5
solis,2875A,02/21/2022,0.0
solis,2875A,02/22/2022,0.0
solis,2875A,02/23/2022,0.0
solis,2875A,02/24/2022,3.5
solis,2875A,02/25/2022,0.0
solis,2875A,02/26/2022,11.0
solis,2875A,02/27/2022,0.2
solis,2875A,02/28/2022,0.0
solis,2875A,03/01/2022,0.0
solis,2875A,03/02/2022,0.0
solis,2875A,03/03/2022,0.0
solis,2875A,03/04/2022,0.0
solis,2875A,03/05/2022,1.0
solis,2875A,03/06/2022,0.9
solis,2875A,03/07/2022,15.0
solis,2875A,03/08/2022,0.0
solis,2875A,03/09/2022,1.0
solis,2875A,03/10/2022,0.0
solis,2875A,03/11/2022,0.0
solis,2875A,03/12/2022,0.0
solis,2875A,03/13/2022,0.0
solis,2875A,03/14/2022,0.0
solis,2875A,03/15/2022,0.0
solis,2875A,03/16/2022,0.0
solis,2875A,03/17/2022,11.4
solis,2875A,03/18/2022,6.0
solis,2875A,03/19/2022,0.0
solis,2875A,03/20/2022,0.0
solis,2875A,03/21/2022,1.0
solis,2875A,03/22/2022,2.5
solis,2875A,03/23/2022,7.0
solis,2875A,03/24/2022,3.0
solis,2875A,03/25/2022,11.5
solis,2875A,03/26/2022,7.0
solis,2875A,03/27/2022,0.0
solis,2875A,03/28/2022,0.0
solis,2875A,03/29/2022,4.0
solis,2875A,03/30/2022,2.5
solis,2875A,03/31/2022,0.0
solis,2875A,04/01/2022,0.0
solis,2875A,04/02/2022,0.0
solis,2875A,04/03/2022,2.5
solis,2875A,04/04/2022,0.0
solis,2875A,04/05/2022,0.0
solis,2875A,04/06/2022,0.0
solis,2875A,04/07/2022,0.0
solis,2875A,04/08/2022,0.0
solis,2875A,04/09/2022,0.0
solis,2875A,04/10/2022,0.0
solis,2875A,04/11/2022,36.0
solis,2875A,04/12/2022,0.0
solis,2875A,04/13/2022,0.0
solis,2875A,04/14/2022,0.0
solis,2875A,04/15/2022,0.0
solis,2875A,04/16/2022,0.0
solis,2875A,04/17/2022,0.0
solis,2875A,04/18/2022,0.0
solis,2875A,04/19/2022,0.0
solis,2875A,04/20/2022,0.0
solis,2875A,04/21/2022,0.0
solis,2875A,04/22/2022,TRAZA
solis,2875A,04/23/2022,0.0
solis,2875A,04/24/2022,41.5
solis,2875A,04/25/2022,24.5
solis,2875A,04/26/2022,40.5
solis,2875A,04/27/2022,7.0
solis,2875A,04/28/2022,0.0
solis,2875A,04/29/2022,0.0
solis,2875A,04/30/2022,0.0
solis,2875A,05/01/2022,0.0
solis,2875A,05/02/2022,0.0
solis,2875A,05/03/2022,0.0
solis,2875A,05/04/2022,0.0
solis,2875A,05/05/2022,0.0
solis,2875A,05/06/2022,0.0
solis,2875A,05/07/2022,0.0
solis,2875A,05/08/2022,0.0
solis,2875A,05/09/2022,0.0
solis,2875A,05/10/2022,0.0
solis,2875A,05/11/2022,2.0
solis,2875A,05/12/2022,0.0
solis,2875A,05/13/2022,0.0
solis,2875A,05/14/2022,0.0
solis,2875A,05/15/2022,7.0
solis,2875A,05/16/2022,23.5
solis,2875A,05/17/2022,11.5
solis,2875A,05/18/2022,0.0
solis,2875A,05/19/2022,0.0
solis,2875A,05/20/2022,0.0
solis,2875A,05/21/2022,0.0
solis,2875A,05/22/2022,0.0
solis,2875A,05/23/2022,0.0
solis,2875A,05/24/2022,0.0
solis,2875A,05/25/2022,12.5
solis,2875A,05/26/2022,5.0
solis,2875A,05/27/2022,0.0
solis,2875A,05/28/2022,0.0
solis,2875A,05/29/2022,0.0
solis,2875A,05/30/2022,TRAZA
solis,2875A,05/31/2022,0.0
solis,2875A,06/01/2022,0.2
solis,2875A,06/02/2022,TRAZA
solis,2875A,06/03/2022,0.0
solis,2875A,06/04/2022,0.0
solis,2875A,06/05/2022,0.0
solis,2875A,06/06/2022,0.0
solis,2875A,06/07/2022,0.0
solis,2875A,06/08/2022,0.0
solis,2875A,06/09/2022,0.0
solis,2875A,06/10/2022,0.0
solis,2875A,06/11/2022,0.0
solis,2875A,06/12/2022,0.0
solis,2875A,06/13/2022,0.0
solis,2875A,06/14/2022,0.0
solis,2875A,06/15/2022,0.0
solis,2875A,06/16/2022,0.0
solis,2875A,06/17/2022,0.0
solis,2875A,06/18/2022,0.0
solis,2875A,06/19/2022,0.0
solis,2875A,06/20/2022,0.0
solis,2875A,06/21/2022,0.0
solis,2875A,06/22/2022,0.0
solis,2875A,06/23/2022,TRAZA
solis,2875A,06/24/2022,0.0
solis,2875A,06/25/2022,0.0
solis,2875A,06/26/2022,0.4
solis,2875A,06/27/2022,0.0
solis,2875A,06/28/2022,0.0
solis,2875A,06/29/2022,0.0
solis,2875A,06/30/2022,0.0
solis,2875A,07/01/2022,19.0
solis,2875A,07/02/2022,0.0
solis,2875A,07/03/2022,0.0
solis,2875A,07/04/2022,0.5
solis,2875A,07/05/2022,0.0
solis,2875A,07/06/2022,5.0
solis,2875A,07/07/2022,0.0
solis,2875A,07/08/2022,14.0
solis,2875A,07/09/2022,0.0
solis,2875A,07/10/2022,35.0
solis,2875A,07/11/2022,4.5
solis,2875A,07/12/2022,0.0
solis,2875A,07/13/2022,0.0
solis,2875A,07/14/2022,0.2
solis,2875A,07/15/2022,7.5
solis,2875A,07/16/2022,2.0
solis,2875A,07/17/2022,0.0
solis,2875A,07/18/2022,0.0
solis,2875A,07/19/2022,0.0
solis,2875A,07/20/2022,0.0
solis,2875A,07/21/2022,0.0
solis,2875A,07/22/2022,0.0
solis,2875A,07/23/2022,0.0
solis,2875A,07/24/2022,0.0
solis,2875A,07/25/2022,4.0
solis,2875A,07/26/2022,6.0
solis,2875A,07/27/2022,17.0
solis,2875A,07/28/2022,7.0
solis,2875A,07/29/2022,0.0
solis,2875A,07/30/2022,0.0
solis,2875A,07/31/2022,0.0
solis,2875A,08/01/2022,0.0
solis,2875A,08/02/2022,0.0
solis,2875A,08/03/2022,0.0
solis,2875A,08/04/2022,0.0
solis,2875A,08/05/2022,0.0
solis,2875A,08/06/2022,0.0
solis,2875A,08/07/2022,0.0
solis,2875A,08/08/2022,0.0
solis,2875A,08/09/2022,0.0
solis,2875A,08/10/2022,0.0
solis,2875A,08/11/2022,0.0
solis,2875A,08/12/2022,9.0
solis,2875A,08/13/2022,0.0
solis,2875A,08/14/2022,3.0
solis,2875A,08/15/2022,0.0
solis,2875A,08/16/2022,0.0
solis,2875A,08/17/2022,0.0
solis,2875A,08/18/2022,TRAZA
solis,2875A,08/19/2022,0.0
solis,2875A,08/20/2022,0.0
solis,2875A,08/21/2022,0.0
solis,2875A,08/22/2022,0.0
solis,2875A,08/23/2022,0.0
solis,2875A,08/24/2022,0.0
solis,2875A,08/25/2022,0.0
solis,2875A,08/26/2022,25.0
solis,2875A,08/27/2022,45.5
solis,2875A,08/28/2022,0.0
solis,2875A,08/29/2022,0.0
solis,2875A,08/30/2022,0.0
solis,2875A,08/31/2022,0.1
solis,2875A,09/01/2022,7.5
solis,2875A,09/02/2022,0.0
solis,2875A,09/03/2022,0.0
solis,2875A,09/04/2022,0.0
solis,2875A,09/05/2022,0.0
solis,2875A,09/06/2022,0.0
solis,2875A,09/07/2022,0.0
solis,2875A,09/08/2022,9.0
solis,2875A,09/09/2022,TRAZA
solis,2875A,09/10/2022,0.0
solis,2875A,09/11/2022,0.0
solis,2875A,09/12/2022,0.0
solis,2875A,09/13/2022,0.0
solis,2875A,09/14/2022,0.0
solis,2875A,09/15/2022,0.0
solis,2875A,09/16/2022,0.0
solis,2875A,09/17/2022,0.0
solis,2875A,09/18/2022,0.0
solis,2875A,09/19/2022,0.0
solis,2875A,09/20/2022,0.0
solis,2875A,09/21/2022,0.0
solis,2875A,09/22/2022,0.0
solis,2875A,09/23/2022,0.0
solis,2875A,09/24/2022,0.0
solis,2875A,09/25/2022,0.0
solis,2875A,09/26/2022,3.5
solis,2875A,09/27/2022,0.0
solis,2875A,09/28/2022,0.0
solis,2875A,09/29/2022,0.0
solis,2875A,09/30/2022,0.0
solis,2875A,10/01/2022,0.0
solis,2875A,10/02/2022,0.0
solis,2875A,10/03/2022,0.0
