sitio,id_dispositivo,tipo_dispositivo,long,lat,fecha_puesta,fecha_retiro,esfuerzo,operativo,hora_puesta,hora_retiro,paisaje,uso_general,instalacion_en,marca,modelo,obs,obs2
SM,SM01_2,camera,,,,,,,,,,,,,,,
SM,SM01_3,camera,,,,,,,,,,,,,,,
SM,SM03_1,camera,,,,,,,,,,,,,,,
SM,SM03_2,camera,,,,,,,,,,,,,,,
SM,SM03_3,camera,,,,,,,,,,,,,,,
SM,SM04_1,camera,,,,,,,,,,,,,,,
SM,SM04_2,camera,,,,,,,,,,,,,,,
SM,SM05_1,camera,,,,,,,,,,,,,,,
SM,SM05_2,camera,,,,,,,,,,,,,,,
SM,SM05_3,camera,,,,,,,,,,,,,,,
SM,SM06_1,camera,,,,,,,,,,,,,,,
SM,SM06_2,camera,,,,,,,,,,,,,,,
SM,SM06_3,camera,,,,,,,,,,,,,,,
PT,PT00_0,sound,-53.656037,-33.963191,,,,,,,,,,,,,
PT,PT01_0,sound,-53.639038,-33.975584,,,,,,,,,,,,,
PT,PT02_0,sound,-53.631996,-33.956243,,,,,,,,,,,,,
